transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nthreads,cpu_util,nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
882.584,626.0,34,2159.5,1,99.4,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
48.6228,347.0,19,328.3,1,99.6,6,2,AMD EPYC 7601 32-Core Processor,liberal,1e-12,0.002,1e-06,1e-12,0.01,trapgear2
134.159,436.0,6,138.1,1,99.5,6,2,AMD EPYC 7601 32-Core Processor,liberal,1e-12,0.002,1e-06,1e-12,0.01,trapgear2
134.128,182.0,5,107.2,1,99.6,6,2,AMD EPYC 7601 32-Core Processor,liberal,1e-12,0.002,1e-06,1e-12,0.01,trapgear2
48.8793,349.0,17,303.3,1,99.5,6,2,AMD EPYC 7601 32-Core Processor,moderate,1e-12,0.002,1e-06,1e-12,0.001,traponly
158.182,414.0,25,297.7,1,99.4,6,2,AMD EPYC 7601 32-Core Processor,moderate,1e-12,0.002,1e-06,1e-12,0.001,traponly
139.068,408.0,6,110.0,1,99.6,6,2,AMD EPYC 7601 32-Core Processor,moderate,1e-12,0.002,1e-06,1e-12,0.001,traponly
85.8241,509.0,6,228.7,1,99.5,6,2,AMD EPYC 7601 32-Core Processor,conservative,1e-12,0.001,1e-06,1e-12,0.0001,gear2only
249.688,480.0,14,133.9,1,99.5,6,2,AMD EPYC 7601 32-Core Processor,conservative,1e-12,0.001,1e-06,1e-12,0.0001,gear2only
241.877,484.0,17,222.4,1,99.4,6,2,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,0.001,1e-06,1e-12,0.0001,gear2only
346.358,551.0,10,418.2,1,99.8,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,0.02,1e-06,1e-12,0.01,trapgear2
2171.1,534.0,10,411.7,1,99.7,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,0.02,1e-06,1e-12,0.01,trapgear2
2213.72,214.0,10,406.7,1,99.7,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,0.02,1e-06,1e-12,0.01,trapgear2
351.856,551.0,18,425.1,1,99.7,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,0.02,1e-06,1e-12,0.001,traponly
2496.17,510.0,13,396.8,1,99.6,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,0.02,1e-06,1e-12,0.001,traponly
2182.83,538.0,11,415.3,1,99.7,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,0.02,1e-06,1e-12,0.001,traponly
616.49,557.0,10,408.1,1,99.7,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,0.01,1e-06,1e-12,0.0001,gear2only
3936.47,553.0,10,399.2,1,99.6,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,0.01,1e-06,1e-12,0.0001,gear2only
3932.69,520.0,10,396.6,1,99.7,6,2,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,0.01,1e-06,1e-12,0.0001,gear2only
